Question,Answer
"Title of address for bishops, abbreviated Exc.",Excellency
This nickname used on Montana license plates is also the name of a popular ski resort,Big Sky
Number of House seats up for election in 1988,all of them (435)
In June he announced he would not seek a second term as president of Austria,(Kurt) Waldheim
It's another word for the tip you give to a waiter or bellhop,a gratuity
"Uranium or titanium, for example",an Element
Ho Chi Minh is buried in this capital city,Hanoi
"2007: ""Growing up and the bumps along the way""",Juno
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Ambrose Bierce
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Marian Anderson
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull
Black ribbon streamers on a family's front door were once a sign of this,mourning
Washington's state fish is the steelhead species of this,trout
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians
"Formerly dementia praecox, this term does not mean a patient has more than one personality",schizophrenia
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",the Rose Parade
Rhett Butler,Margaret Mitchell
"I'm confused, perplexed, absolutely this",baffled
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,white
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",Joe Biden
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,McDonald's
Hi-yo ___ wedding anniversary,Silver
Woody Allen won 2 Oscars for this 1977 film,Annie Hall
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Muqtada al-Sadr
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,(Joe) Lieberman
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Cecil Rhodes
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Navel
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Jackie Robinson
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Robert Burns
Lee Majors' role from 1981 to 1986,The Fall Guy
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy Roosevelt
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,the Titans
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",Cantor
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",the Second World
California vegetable with a crown & a heart,an artichoke
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""","Salem, Massachusetts"
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,The Last King of Scotland
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""","""Nine Months"""
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:","""Michelle"""
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,flags
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Stephen F. Austin
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",a greenhouse
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",McKinley
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,Congressional Medal of Honor
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown v. Board of Education
"""Shutter Island"" & ""Revolutionary Road""",Leonardo DiCaprio
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan
"Change one letter in lord & make this verb meaning ""to pack up""",load
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante Aligheri
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",fisherman
"A small fipple flute that, by its name, sounds like it only costs one cent",a pennywhistle
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis Island
"Pilot somewhere over the Atlantic, May 20, 1927",Lindbergh
The 2 you'd find naturally in Siberia,Bears & tigers
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,(Usain) Bolt
What a catcher might eat his dinner on,Home plate
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Royal Air Force
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Timbuktu
282 feet below sea level in Death Valley,California
"A sudden, violent windstorm",a squall
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole Lombard
"He gave us the classic tale of Cossack life ""Taras Bulba""",Nikolai Gogol
This racket sport is named for the Duke of Beaufort's country seat,badminton
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",Pizza
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jack the Ripper
An author's last Italian holiday is the subject of this Thomas Mann novella,Death In Venice
The Battle of Bosworth,the Wars of the Roses
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Barnaby Jones
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Colonel Blimp
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",The Louvre
"1989: This CEO ""& Me""",Roger
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",gold
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane Byrne
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",the Aztecs
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda
America's first public high school was opened in 1821 in this New England capital,Boston
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Minnesota
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,trolls
Casey Kasem was known for presenting long-distance ones,dedication
Relating to the heart & blood vessels: CV,cardiovascular
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",Pluto
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Little John
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,The Love Boat
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White and the Seven Dwarfs
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,Soviet Union
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques Rousseau
Nixon might have found one of these detachable shirt fronts tricky to wear,Dickie
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Brain
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",the second
An underground container for sewage,cesspool
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Georges Clemenceau
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Assassins
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Bill Blass
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln
South America: President Alvaro Uribe,Colombia
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,E-L-I-G-I-B-L-E
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La boheme
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin
Native American drum that headed the Department of Homeland Security,Tom Tom Ridge
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,"""North And South"""
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",stratus
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,The Little Mermaid
"Mexican flat bread, or Steinbeck ""flat""",Tortilla
"In the Treaty of The Hague, this country's Philip V ended his unequal war with the Quadruple Alliance",Spain
"In 1998 a man with ""Soy Bomb"" marked on his chest interrupted Bob's performance at this awards show",Grammy Awards
"Restaurant critic Gil Chesterton & sportscaster Bob ""Bulldog"" Briscoe have also worked at KACL on this sitcom",Frasier
"Big problems in the Little League: ""Bad _____ Bears""",News
It's the only Canadian province that is separated from the North American mainland,Prince Edward Island
The large rounded part of the brain that occupies most of the cranial cavity,Cerebrum
Elkhart in this state is the world capital of band instruments & RV manufacturing,Indiana
Neo-expressionest Julian Schnabel changed canvases & directed this film about Cuban poet Reinaldo Arenas,Before Night Falls
ER techs need to know if this is type B or O,blood
"Meg's the oldest of the sisters in this family; Amy, the youngest",the Marches
"If a jury is this, they're brought together unfairly or corruptly",packed
Ocean Spray & Land O'Lakes are this type of business where groups of producers work together,a cooperative
"It's where flowers ""sleep""",a bed
"A village milkmaid is the heroine of this 1881 operetta ""Patience"" by this duo",Gilbert & Sullivan
Hawaii got this official nickname with statehood in 1959,"""The Aloha State"""
"A Roman official, or a Chicago newspaper              (7)",Tribune
"...this pasta, thinner than spaghetti, whose name is Italian for ""little worms""",vermicelli
"He's the emperor portrayed here in 1804, clad in his elaborate coronation dress:",Napoleon Bonaparte
"In a fitted skirt, the inverted fold that gives the wearer freedom to walk or punt",a kick pleat
Sir Francis Drake looted & burned the Spanish fort at this Florida site in 1586,St. Augustine
"So far it's had 16 chief justices, starting with John Jay & ending with William Rehnquist",the Supreme Court
A milliner makes & sells these; I believe the cloche is making a comeback,hats
"""Athletic"" name of this 5th century B.C. sculpture by Myron:","""The Discus Thrower"""
"Hey 13th century knight, you've got this flexible armor made of interlinked metal rings",chain mail
Mrs. David Arquette,Courteney Cox
"You can ""wax"" nostalgic at the historical figures in this museum next to the London Planetarium",Madame Tussaud
"Until 1937 the Lakehurst, New Jersey, naval air station was the U.S. transatlantic terminal for these craft",Dirigibles
"India, Italy,  Iceland",India
"Named for an astronomer, it's a huge ""cloud"" of comets existing at the edge of the solar system",the Oort Cloud
"If you're using a GPS device to get around, you should know GPS stands for this",Global Positioning System
The Valencia type of this fruit is good for juice,orange
"In the toe-counting rhyme, it's where the second little piggy stayed",at home
"It's the title mode of transportation for 1928's ""Willie""",steamboat
"i.e. ""No Credit"", the phrase ""cash on"" this probably comes from saloons using it as a table or countertop",on the barrel
He was officially presented to the Welsh people on July 1,Prince Charles
Oakland Raiders 1969-78,John Madden
"According to one grisly legend, this czar blinded the architects of Moscow's St. Basil's Cathedral",Ivan the Terrible
"England's throne went from Ethelwulf to Ethelbald to Ethelbert to Ethelred to this ""great"" man",Alfred
A heart with an arrow through it is often used to symbolize this holiday,Valentine's Day
"Grumari has been called ""The Most Beautiful"" of these in Rio, & Ipanema, ""The Most Chic""",Beaches
"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii
"Found in fish, omega-3 oils are thought to lower the level of this bad cholesterol",LDL (low density lipoproteins)
A circle of mushrooms in a grassy area named for the belief it's where magic beings danced,fairy ring
This style of home named for a Massachusetts peninsula features a gabled roof & a central chimney,a Cape Cod
"Christopher Lee, Edmund Purdom, Gert Frobe & Lionel Barrymore all monkeyed around as this ""Mad Monk""",Rasputin
An arctophile loves these cuddly items named for a U.S. president,teddy bears
This song associated with Yale was popularized by Yale alumnus Rudy Vallee,"""The Whiffenpoof Song"""
This country's Governor General's Award has 7 categories each for writing in English & French,Canada
"The ""SS"" in ISS: Skylab & Russia's Salyut were early ones",a space station
Period during which recruits learn combat skills,Basic training
"Mitch Hedberg: ""The depressing thing about"" this Chris Evert sport is ""no matter how good I get, I'll never be as good as a wall""",tennis
"In this artistic process, printing is done by forcing ink into grooves made by acid",copperplate etching
"In the ""Goths"" episode, our heroes hand this group its worst defeat in 600 years on Aug. 9, 378",the Romans
"This river's delta covers more than 12,000 square miles in Louisiana",Mississippi River
"President who called Watergate ""A burden I shall bear for every day of the life that is left to me""",Richard Nixon
It made news that a London burglar was caught by using these prints he left while listening at doors & windows,Earprints
The pocket gopher uses this almost hairless appendage as a sense organ to feel its way in the dark,Tail
"At night hummingbirds enter torpor, a short version of this, in which temp. lowers & metabolism slows",hibernation
"When parents hear this word, they think ""heavy snowstorm""; when teens hear it, they think ""yummy treat from Dairy Queen""",Blizzard
The Holland type of this liquor first made in Holland is usually drunk straight,gin
It's the name of the probe that sent back the 1976 images seen here,Viking
In 1855 Joshua Stoddard patented this musical instrument often associated with circuses & merry-go-rounds,Calliope
"He said of his role in ""Gladiator"", ""I've done some pretty physical stuff before, but this was unrelenting""",Russell Crowe
"You're consuming more than I can sustain if ""you're eating me out of"" these 2 things",House and home
The 1st electric version had only red & green lights & had to be worked by hand,Stop Light/Traffic Signal
"The value of all goods & services produced within a country during a year makes up this, the GDP",the gross domestic product
This type of guard accompanies a casket at a military funeral,honor guard
Dwight Eisenhower lived in the same Kansas home from the age of 8 until he went off to this school at age 20,West Point
"Despite warnings from Tim the Enchanter, a deadly rabbit decimates King Arthur's men in this spoof",Monty Python and the Holy Grail
Name of the Pepperidge Farm product seen here:,Goldfish
"In the 1950s he was the first of the British playwrights known as ""Angry Young Men""","John Osborne (""Look Back In Anger"")"
"Veloute, made of stock thickened with a flour & butter roux, is named for this fabric--it's that smooth",velvet
"Vermont, which didn't approve a lottery until 1976, was where she wrote ""The Lottery"" in 1949",Shirley Jackson
"Flying at the then-incredible speed of 575 MPH, the Boeing 707 began commercial flight service in this decade",1950s
These rare fungi are used in the diplomat sauce served over fish or shellfish,truffles
"On July 30, 1965 this bill providing health care for the aged was signed into law",Medicare
"When he first came to Hoboken from Holland, this abstract Expressionist, who died at 93, painted houses",Willem de Kooning
"This name was especially popular in the 1800s, when a certain Miss Dickinson and Miss Bronte were born",Emily
"In a poetic drama, this biblical brother becomes a willing pupil of Lucifer",Cain
"To deal with a problem head on is ""to take"" it ""by the horns""",the bull
"Launched into orbit in 1990, it has a light-gathering mirror that's 94 inches in diameter",the Hubble (Space) Telescope
"The financial dealings of her husband, John Zaccaro, caused controversy during her run for V.P.",Geraldine Ferraro
In 1939 U.S. lighthouses came under the jurisdiction of this branch of the armed services,the Coast Guard
June 24:  This man who had a good head on his shoulders before he met Salome,John the Baptist
"As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958",Itzhak Perlman
1 of the 2 in 1901,Queen Victoria or Edward VII
"Crisps: a man's face with a bushy mustache, parted bangs & a red bow tie",Pringles
The bombing of the city of Darwin is featured in this Baz Luhrmann epic,Australia
"A tagline for this 2007 Will Smith film was ""The last man on Earth is not alone""",I Am Legend
"First published in 1970, Dee Brown's classic ""Indian History of the American West"" is titled ""Bury My Heart"" here",At Wounded Knee
Abraham Lincoln's son Robert Todd was president of this sleeping car company from 1897 to 1911,Pullman
"In ""Frank Fairlegh"" Francis Edward Smedley wrote ""All's fair in"" these 2 activities",Love & War
Her mother Mary Wollstonecraft was also an accomplished author,Mary Shelley
"Completed in 1345, the Ponte Vecchio crosses over the Arno River in this European country",Italy
It's the country immediately to the west of Egypt,Libya
"""Old habits die"" this way",hard
This country is located across the Mozambique Channel from the coast of Africa,Madagascar
This 1986 film earned a best actor nomination for tenor sax great Dexter Gordon,"""'Round Midnight"""
"Don't let dull knives dampen your spirit, use one of these abrasive items to sharpen them",Whetstone
"""A Journal of the Plague Year"" by D.D.",Daniel Defoe
"In 2010 British Petroleum said it ""seemed inconceivable"" that this oil rig device, BP for short, could fail",the blowout preventer
Switzerland,red & white
"In 2009 this supporting actor Oscar winner's award was accepted by his mother, father & sister",Heath Ledger
Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,octopus
(Sarah of the Clue Crew)  Spicy-sounding name for the type of comb I'm using to give Daily Double a good grooming,curry comb
In 1513 Ponce de Leon landed in what's now this U.S. state & gave it its name,Florida
"John Gray penned the book these 2 planets ""Together Forever--Relationship Skills for Lasting Love""",Mars & Venus (Venus & Mars accepted)
"The Beatles asked him ""What did you kill?""",Bungalow Bill
The Idaho section of U.S. Highway 12 bears the name of these 2 men who passed through the area in the early 1800s,Lewis & Clark
This Providence university that dates back to 1764 is home to a NASA research center,Brown
The strap-happy sandals named for these ancient combatants were hot in 2008,gladiators
"you're lounging in Lima, the capital",Peru
"When your car is ""on the hook"", it's traveling this way",on a tow truck
The American Library Association awards a medal named for this children's book publisher,(John) Newbery
"His 1978 album ""52nd Street"" was named for a NYC area famous for its jazz scene",Billy Joel
"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",20/20
"In 1962 she said, ""Nineteen-fourteen was the birthday of us all""",Barbara Tuchman
This institution's vast collection includes the Spirit of St. Louis & Archie Bunker's chair,Smithsonian
"You've got security with ""My word is my bond"", the motto of this London financial institution",the London Stock Exchange
"Known as the ""Little Flower"", he left the House of Representatives in 1933 & became mayor of NYC",Fiorello LaGuardia
"Seen here, he's Nancy's sidekick",Sluggo
"The U.N. adopted this, the UDHR, in 1948; I guess it'll still apply if we ever get to Alpha Centauri",the Universal Declaration of Human Rights
"The lesser members of an organization, or the vertical & horizontal rows on a chessboard",Rank and file
"In 1610 he described the moon as seen in his telescope as having a ""rough and unequal"" surface",Galileo
"In 1943 he sent the famous message ""Eleven alive native knows posit and reefs Nauru Island""",John Fitzgerald Kennedy
"Hsing-Hsing, one of these ""giant"" Asian animals, is a popular attraction at the National Zoo",a giant panda
It's composed mainly of amylose & amylopectin,starch
Casa Pacifica in San Clemente was the western White House of this U.S. president,Richard Nixon
"Tom Berenger & William Katt played this outlaw pair in their ""early days""",Butch Cassidy and the Sundance Kid
"A star of the 1973 TV movie ""Satan's School for Girls"", she was back in the 2000 remake",Kate Jackson
This 7-letter word means to presage or forebode,portend
2002: Michael Chiklis,The Shield
"Dashaun Young is now playing this hero who's destined to be ""The Lion King""",Simba
Nickname of British fictional hero Hugh Drummond,"""Bulldog"""
"An homage to Charles Schulz, the project named for this character helps needy kids by ""providing security through blankets""",Linus
"The ancient Egyptians were a polytheistic people, meaning they had many of these",gods
Almost a century later you can still use Hector Guimard's entrances to this city's Metro stations,Paris
This Southern Hemisphere nation was named after a southwestern province of the Netherlands,New Zealand
"The highest point in this Southeastern state is just 345 feet, in Walton County near the Alabama border",Florida
"Hamlet's father, the king of Denmark, killed Fortinbras' father, king of this nearby country",Norway
"Unlike most provinces, Quebec has a separate one of these, La Surete Provinciale Du Quebec",Provincial/State Police
"In 1966 Clark & Gollan performed experiments that led to artificial this, probably exciting news to artificial vampires",artificial blood
Quixote or Drysdale,a Don
"This now-Patriots head coach said in 1992, ""I don't think there's anybody... not focused on the 49ers... I mean, Chargers""",Bill Belichick
"""Goings on About Town"" & ""The Talk of the Town"" are regular features of this magazine",The New Yorker
"Name of the cemetery in Tombstone, Arizona & many other towns as well",boot hill
"State whose counties include Crockett, Zapata & Pecos",Texas
"Almost all of the state's electrical power is generated by this agency, known for its dams",TVA (Tennessee Valley Authority)
"This ""precious"" first opera in the ""Ring"" cycle runs about 90 minutes shorter than any of the other 3",Das Rheingold
"Spelled with ""al"" at the end, this word refers to a school official: with ""le"", it's a fundamental truth",principal/principle
This heavy 19th century sheath knife was named for a Texas frontiersman killed at the Alamo,Bowie knife
The 1970 cover photo of this man was taken by his wife Linda,Paul McCartney
This son-in-law of LBJ was the governor of Virginia from 1982-1986,Charles (Chuck) Robb
"""The noonday train will bring Frank Miller"" at 12 sharp in this 1952 film; look out, Gary!",High Noon
A WWII German defensive line & Judge Bean,Siegfried & Roy
For a Major League baseball it's 9 to 9 1/4 inches,circumference
"From 1965: ""Sont les mots qui vont tres bien ensemble""",Michelle
"""'Tis incredible to believe how much she loves me.  O the kindest Kate!"" Petruchio says in this play","""The Taming of the Shrew"""
"A long, loose-hanging women's dress worn in Kahaluu & Punaluu",a muumuu
"In 2002 Spider-Man climbed walls, but it was Willem Dafoe who went over the top as this villain",the Green Goblin
"John Lennon & Paul McCartney were in their 20s when they wrote ""When I'm"" this old",64
This part of a drill that tightens the jaw around the bit has a special key,chuck
No state shall engage in this (unless invaded),war
"The ancient city of Byblos was known for its production of this material, hence bible, meaning book",papyrus
"These Nova Scotia games include Celtic workshops & tossing the caber, a 20-foot log",The Highland Games
"Established in 1929, this political party has won every presidential election since",PRI
"An independent agency of the U.S. government, it's also called Eximbank",Export/Import Bank
"Governor of California from 1949 to 1953 & a Supreme Court Chief Justice, we confer on him the title of....",Earl Warren
This distinctive aroma of a wine can also mean a group of cut flowers,Bouquet
"Meaning ""another self"", it can refer to a close friend or one's secret identity",Alter Ego
A panel of 5 children answered questions sent in by home viewers & won savings bonds on this show,Quiz Kids
"Considered evil in the Middle Ages, many cats were killed, which may have led to this scourge",the Black Death
"His 1911 painting ""I and the Village"" uses the simple shapes of Russian folk art",Chagall
"""To Let"" was the last novel in this John Galsworthy series","""The Forsyte Saga"""
"If you're thinking of the 2nd largest city in Colorado, this one should spring to mind",Colorado Springs
1997 is the millennium of this saint's becoming the supreme Magyar prince of Hungary,Stephen
Tom Hanks voiced 4 characters in this Christmas film that used motion-capture technology,The Polar Express
"By a cumulative count, you get a total of 364 gifts in this song, including 42 swans","""The 12 Days of Christmas"""
"In an email that surfaced after her murder, she said if anything happened to her, Pres. Musharraf was responsible",Benazir Bhutto
"On July 12, 1998 this Cardinal hit HR No. 40 in his 281st at-bat of the season -- the fewest ever needed to reach that total",Mark McGwire
"Have a hangtown fry, traditionally, eggs, bacon & these shellfish--a pearl of a dish!",oysters
"Like root beer, this ""ale"" is flavored with a root, mostly from Jamaica",ginger ale
Women's rights leader: ____ Cady ____,Elizabeth Cady Stanton
"Rick Springfield, Bruce Springsteen, Buffalo Springfield",Rick Springfield
"Pavonine means of or resembling this ""proud"" bird",a peacock
"First, a toast, my sweet, with a glass of this potent potable whose invention is credited to Dom Perignon",champagne
"When this London residence is freezing, we'd like to return it to the dukes for whom it's named",Buckingham Palace
"Forces of this European nation conquered Algiers in 1830, ending its use as a stronghold by pirates",France
"""You furnish the pictures & I'll furnish the war""",William Randolph Hearst
Philadelphia pharmicist Charles Hires commercialized this type of soda in the mid-1800s,root beer
"""The Moonstone"" author William Collins",Wilkie
"Helicobacter pylori has special defenses against this acid, which allow it to live in the stomach & cause ulcers",hydrochloric acid
"Cotto, Genoa, Pepperoni",salami
"Rah, rah, sis boom bah!  It's the term for the globular flowers of a chrysanthemum",a pom-pom
"After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role",Mike Hammer
Ekanetra & Ekarudra were both Vidyesvara gods of this religion,Hinduism
By 1880 both Edison & British physicist Joseph Wilson Swan had applied for patents on this type of electric lamp,an incandescent light bulb
"This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations",Pravda
"Pirates officially licensed to attack enemy ships during wartime were known by this ""secretive"" name",Privateers
"Moments after Macbeth claims he can't be killed by any man born of woman, this thane of Fife performs the deed",Macduff
A cricket's receptors for this are highly sensitive areas on its front legs,hearing
"The Refugee Project, helping underprivileged children, is at the heart of this female former Fugee",Lauryn Hill
"His story ""The Outcasts of Poker Flat"" appeared in 1869 in the Overland Monthly, which he edited",Bret Harte
It's customary to toast these soft confections on sticks over a campfire,Marshmallows
"Seen here, he was president when Georgia became independent, but was then deposed",Zviad Gamsakhurdia
"In 2006 Sterling Marlin, a veteran racer on this circuit, got a new ride, the no. 14 Chevrolet",NASCAR
"It's the ""F"" in the common web acronym ""FAQ""",frequently
Dr. Clanny's lamp of 1813 was designed so these workers wouldn't ignite gases & blow themselves up,miners
"Paul Tulane gave a substantial endowment to a school in this city, and it was renamed in his honor",New Orleans
Eid ul-Fitr marks the end of this month of fasting,Ramadan
"The Liberty Bell was hidden in this Pennsylvania ""town"" in 1777",Allentown
"In later life, Renoir's hands became so crippled with arthritis, these had to be tied to them",his brushes
French gave us this word for a set of tuned bells in a tower,a carillon
"As a verb, this means to squander or waste; in the bakery, it's a deep-fried cake",fritter
"For a time, Cervantes supported himself by finding provisions for this Spanish fleet",Spanish Armada
"This host of ""Boy Meets Grill"" says charcoal is a lot of work but it gives food a smokiness that gas can't imitate",Bobby Flay
Leon Beiderbecke,"""Bix"""
In the North Atlantic:  CLND,Iceland
