Question,Answer
"In ""Cool Hand Luke"", he's the character actor who says ""What we've got here is failure to communicate""",Strother Martin
"The Tasman & Hooker Glaciers radiate from Mt. Cook, the highest mountain of the Southern Alps in this country",New Zealand
The emotional strain I feel until you ring in with the correct response,Tension
"One of the world's oldest mummies, the Detmold Child was mummified in this high S. Amer. country 3,000 years before Tut",Peru
The Maccabees fought a guerrilla war to keep the Syrians out of this city,Jerusalem
"Girton, Cambridge University's 1st college for these people, was founded in 1869",women
"An entirely female unit, the Mariana Grajales Women's Platoon, helped win this country's 1956-58 socialist revolution",Cuba
The title character on this NBC drama works for the Massachusetts State Coroner's Office,Crossing Jordan
"Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe",Copernicus
"Any ""birdbrain"" knows these are the small compartments for papers in a desk",Pigeonholes
"Phonetically, it sounds like 2 letters of the alphabet",envy
It's the second-largest body of water in the world,Atlantic Ocean
"John Dalton figured that in water, an atom of this was 8 times heavier than an atom of hydrogen",oxygen
In November 1910 he was elected governor of New Jersey; 2 years later he was elected president,Woodrow Wilson
"In a book by Irene Hunt, 9-year-old Jethro Creighton lives during the Civil War, which lasts ""Across Five"" of these months",Aprils
"At the start of the game Diplomacy, France controls 3 supply centers: Paris, Brest & this port",Marseille
"We're shocked to hear that some car dealerships have been known to ""roll back"" this device",the odometer
The only newspaper not in the continental U.S. to make the Top 100 is this city's Advertiser at No. 79,Honolulu
"During World War II, the Japanese repeatedly bombed this city on Australia's northern coast",Darwin
"""Once a jolly swagman camped by"" this, Australian for a stagnant pool or backwater",billabong
"1966: ""...and Mr. Chicken""",The Ghost
"From old Italian for ""to shield"" & ""sun"", it's another name for a sun umbrella",parasol
"She went to the baker's to buy her dog some bread; ""when she came back the poor dog was dead""",Old Mother Hubbard
2-word anatomical term for a craving for candy,a sweet tooth
"Roy Rogers sang ""Buttons and Bows"" with Bob Hope & Jane Russell in this sequel to ""The Paleface""",Son of Paleface
Wed in 1953: Jackjacq,the Kennedys
Originally this term referred to the man employed on a cattle train who prodded cattle to keep them on their feet,a cowpoke
"This woman of Troy shows up in several operas, including ""Mefistofele""",Helen
In 1998 Pope John Paul II concluded his visit to this country with a mass at the Plaza de la Revolucion,Cuba
"This country has Bataan Day & People Power Day, commemorating the 1986 revolt",the Philippines
"His artworks command prices of $400,000, & he was Oscar-nominated for directing ""The Diving Bell and the Butterfly""",(Julian) Schnabel
"This czar may have been ""great"", but biographer Robert K. Massie says he was deathly afraid of cockroaches",Peter the Great
In 1402 Ottoman Sultan Bayezid I was captured in the Battle of Ankara by this conqueror from Samarkand,Tamerlane
"Rome, Dublin, Athens",Georgia
"""Culprit"", meaning the guilty party, evolved from this adjective meaning ""guilty""",culpable
"This polo-playing Harvard grad played Loretta Lynn's husband in ""Coal Miner's Daughter""",Tommy Lee Jones
Bermuda is a self-governing dependency of this nation,the United Kingdom
"Jeff Spicoli loved to surf in this movie'-aloha, Mr. Hand!",Fast Times at Ridgemont High
"As a verb, it refers to the motion propelling the boat; as a noun, it refers to the person who sets the pace",stroke
"1992: ""My _____ Vinny""",Cousin
It's the spirit found in a daiquiri cocktail,rum
"Albion House in the town of Marlow is the place where she finished writing ""Frankenstein""",Mary Shelley
"To target online consumers, this company hopes to combine data from its ESPN & ABC online units",Disney
"From the Latin for ""make similar"", it's an exact duplicate",facsimile
"Congress established this National Park in Arizona February 26, 1919",the Grand Canyon
"The Captain & Tennile would ""love"" this capital of Oman",Muscat
Alumnus,alumni
Acting instructor for an aspiring household pest,a roach coach
Jennifer Connelly won an Oscar for playing the wife of this man,(John) Nash
"When asked if he has any writers, this piano-playing comic says, ""Yes, I have 535 writers.  100 in the Senate & 435 in the House…""",(Mark) Russell
"In Luke, he is quoted as saying, ""I indeed baptize you with water; but one mightier than I cometh""",John the Baptist
"This highest social class, whose name still refers to aristocracy, once made up the entire Senate",Patricians
"Epistemophobia would be bad news for a Jeopardy! contestant, as it's fear of this",knowledge
"This ""Candide"" author helped popularize the saying, ""The perfect is the enemy of the good""",Voltaire
"This redhead does some down-home storytelling in her 1999 book ""Comfort From A Country Quilt""",Reba McEntire
He returned to India at age 17 in 1882 & worked as a journalist; he published his first poems in 1886,Rudyard Kipling
A device known as a rectifier makes this electrical conversion,from AC to DC
"The Latin name of this great philosophical work by St. Augustine is ""De Civitate Dei""",City of God
"This Irish film director based ""The Crying Game"" on one of his own short stories",Neil Jordan
"""Game of Shadows"" is a 2006 book about this man who is second on the all-time home run list",(Barry) Bonds
"Known scientifically as felis pardalis, there are only about 100 of these cats left in Texas",ocelot
(Sarah of the Clue Crew)  Health regulations often call for some restaurant employees to wear these on their heads,hairnets
"This French sauce made with butter, egg yolks & lemon juice is named for another country",Hollandaise sauce
The CIA's main rival for much of its existence was this Soviet counterpart,KGB
"He wrote of the law of the jungle, ""The wolf that shall keep it may prosper, but the wolf that shall break it must die""",Rudyard Kipling
"Your employer sends you this, the most common income-reporting tax statement in the United States",W-2
"This Detroit paper has a 2-word name, a guarantee of the First Amendment",the Free Press
"9 years before arriving at the Mississippi River, he met the Incan ruler Atahualpa in Peru",Hernando de Soto
"The Latin Grammys' first Record of the Year went to ""Corazon Espinado"", by this man's band Mana",Carlos Santana
"This letter appears on the costumes of superheroes named Storm, Cyclops, Jubilee & Wolverine","X (as in ""X-Men"")"
"This 1993 hit by UB40 remained in the Top 40 for 23 weeks, almost twice as long as Elvis Presley's 1961 version",Can't Help Falling in Love
Loved the Gown Gallery--an exhibit about the First Ladies--in this Smithsonian museum,the Museum of American History
"The jersey seen here was worn during the 1961 season by this slugger who led the majors with 126 walks (New York Yankees, No. 7)",Mickey Mantle
"As a verb, this first name means to send mail free of charge",Frank
Playmobil toys were introduced by this country's Geobra Brandstatter in 1974,(West) Germany
"A competition for fishermen, knights or ""Jeopardy!"" contestants",Tournament
A Nittany Lion could tell you this city is home to Penn State's main campus,State College
"""Psycho""",Norman Bates
In 1815 he had Congress authorize fighting with Algiers,(James) Madison
"""They Call the Wind Maria"" is a song from this musical",Paint Your Wagon
His 9th hurdle --  Hippolyta's girdle,Hercules
"After his wife Rachel died, his niece took over her duties; after she died, a daughter-in-law was summoned",Andrew Jackson
Just one Boston baked veggie,Bean
"Hello, this character who said, ""I'll tell you a little secret about zip codes--they're meaningless""",Newman
Wilt Chamberlain & this '60s Celtic are the only NBAers to average more than 20 rebounds per game,Bill Russell
The 4th Gospel of the New Testament,John
From 1815 to 1821 the Farmhouse of Longwood on the island of St. Helena was this exile's home,Napoleon Bonaparte
"It's the main city in Ohio's 14th district, once a rubber center & now called ""Polymer Valley""",Akron
"Sort of like the Peace Corps, only local: VISTA",Volunteers in Service to America
"When reading, keep your mind out of this depression between the pages",Gutter
"Winning in 1965 & 1966, he was the first man to win the Masters golf tournament in 2 consecutive years",Jack Nicklaus
This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,Cheech Marin
"Broncos:  51,475 yards  (1983-1998)",(John) Elway
"""Ransom"" reunited her with her ""Lethal Weapon 3"" co-star Mel Gibson",Rene Russo
"As Landon Donovan knows, using hands is a no-no for the majority of the players",soccer
The 2 main foods of the aardvark are ants & these mound insects,termites
"It was all the rage & on the charts in 1975; so ""Do"" it!","the ""Hustle"""
"The classic ""Problem of the Many"" is this in the sky: which droplets are part of it, & where does it start & end?",a cloud
"In 1998 a San Antonio, Texas school was named in honor of this first woman on the Supreme Court",Sandra Day O'Connor
Tennessee,Memphis
"Appropriately, this grandmother of American folk art painted ""Over the River to Grandma's House""",Grandma Moses
"Surrounded by Italy, this small country on Mt. Titano was once under the protection of the papacy",San Marino
"Surrealist painter who had pop & country hits with ""Here You Come Again"" & ""9 To 5""",Salvador Dali (Dolly) Parton
"John Steinbeck traveled across America in a 1962 bestseller, ""Travels With"" this title poodle",Charley
He had a good year in 1928; construction began on the NYC art deco building named for him & he acquired Dodge,Walter Chrysler
"Nelson ""Old Poison"" Stewart, Stan Mikita, Wayne Gretzky",centermen
"""Goodnight, Seattle""",Frasier
"This ""Old Ironsides"" poet was also a doctor.  You might recall that his son became a lawyer",(Oliver Wendell) Holmes
"In this 1994 film, St. Nick falls off a roof & Tim Allen is forced to take his place",The Santa Clause
"An early resident was the countess of Lichfield, the daughter of this 17th century king who returned from exile",Charles II
Trademark name for a laminated heat-resistant plastic used for counter tops & flooring,Formica
"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest
The battle took place in the northern part of this state,Virginia
"It's ""The Capital of the Empire State"" & ""The Edinburgh of America""",Albany
"It joins with ""zooks!"" as a mild or ironic oath",Gad
One of his last paintings before his 1903 death in the South Pacific was a landscape of Brittany in winter,Gauguin
"From the Latin for ""to heal"", it's the type of education that brings deficient students up to standard levels",remedial
"The ""home of golf"", it's also home to Scotland's oldest university",St. Andrews
"This all-time leader in hits & games placed was a regular at first, second & third",Pete Rose
"This Pakistani leader agreed to an arranged marriage, but kept her maiden name",Benazir Bhutto
Literary term meaning to show or indicate earlier in the story,foreshadow
"Traditionally used to make Thanksgiving pies, this gourd is rich in vitamin A",a pumpkin
"James Meredith, the first black student at the University of this state, was shot & wounded there in June 1966",Mississippi
"Arriving at the hospital on March 30, 1981, he told one of his doctors, ""I hope you're a Republican""",Ronald Reagan
"In the old saw, it precedes ""Half a dozen of the other""",6 of 1
"A letter from Einstein to FDR is on display at the Bradbury Science Museum in this city, birthplace of the atomic bomb",Los Alamos
"According to the proverb, it's what a ""stitch in time"" does",saves nine
This Copenhagen-based beer brand became purveyors to the Royal Danish Court in 1904,Carlsberg
"Daffy Duck, a fox from Disney in 1973 & Kevin Costner have all played this role from folklore",Robin Hood
You were a fool to move that bishop!  This 4-letter term in 3 moves,mate
"Dan Marino, Brett Favre & this Denver Bronco are the only NFL quarterbacks to pass for more than 50,000 yards",John Elway
"Galilee, Samaria & Judea in the south were the 3 traditional divisions of this ancient area with a still-current name",Palestine
"Some local TV news goes by the sensation-loving motto ""If it"" does this, ""it leads""",bleeds
"""Firth"" is a synonym for this broad mouth of a river into which the tide flows",estuary
The 150th anniversary of this 1849 California event was honored on a 1999 U.S. stamp,the Gold Rush
"With 20, this ""Bear"" of a golfer is the all-time leader in major tournament wins",Jack Nicklaus
"Ferdinand & Isabella promised to make him ""Admiral of the Ocean Sea"" if he was successful in his 1492 voyage",Christopher Columbus
"In 2001 this Oscar winner sang ""Angelina"", a romantic tribute to his fifth wife, on his album ""Private Radio""",Billy Bob Thornton
"You don't have to be an oracle to know that this oracle is pivotal to the plot of ""Ion""",the Delphic Oracle
"Between 1656 & 1735 members of the Albanian Koprulu family served the sultan as this ""grand"" executive officer",(grand) vizier
"This author used some of his plots for a proposed late '50s Bond TV series in his book ""For Your Eyes Only""",Ian Fleming
In this series dimwitted sheriff Roscoe P. Coltrane was Boss Hogg's brother-in-law,The Dukes of Hazzard
This Egyptian crime boss is wanted in connection with ordering the death of all male Jewish children,Pharaoh
"To visit Abraham Lincoln's birthplace, you have to go to this U.S. state",Kentucky
"In the prologue of a 1952 novel, this author wrote, ""I am an invisible man""",(Ralph) Ellison
In the '90s you were a glutton for punishment if you rooted for this Ohio NFL team that went 52-108,the (Cincinnati) Bengals
"This song by Christina Aguilera says, ""You are"" this, ""no matter what they say"" & ""in every single way""",beautiful
"Last name of siblings Laverne, Maxine & Patti, who sang ""Bei Mir Bist du Schoen"" in 1937",the Andrews Sisters
"If you did this to someone's ""goose"", you spoiled his plans",Cooked It
"Alaska's Resurrection Bay was named by Alexander Baranof, who first sailed into it on this holiday",Easter
Wiggle your toe if you know this man who won the Best Actor Oscar for 1989,Daniel Day-Lewis
"He not only won the NL home run title with 65, he now ranks tenth on the all-time career home run list",Mark McGwire
"In ""Le Morte d'Arthur"", a gathering of knights saw a vision of this",the (Holy) Grail
"It's also known as sonography, baby",ultrasound
Species of this insect include ctenocephalides canis & ctenocephalides felis,Flea
"Later the host of ""The Tonight Show"", this man began his TV career at Omaha's WOW-TV",Johnny Carson
"Just hours before Michael Jackson's death, Hollywood lost this TV ""Angel""",Farrah Fawcett
"It's said that his singing & lyre-playing ""drew iron tears down Pluto's cheek""",Orpheus
This winged horse carried thunderbolts for Zeus,Pegasus
This president appointed more Supreme Court justices than any other,George Washington
Real-lfe spouse Amy Madigan didn't play Ed Harris' wife Lee Krasner in this movie; she played Peggy Guggenheim,Pollock
"New Jersey's Dave Meenan covered more than 28 miles this way in 1997--beat that, Bojangles!",tap dancing
"Viaticum, confession & anointing of the sick are part of this Roman Catholic procedure",Last rites
LEFT RIB,filbert
It's the C of BMOC,campus
Martha Reeves & the Vandellas provided backing vocals on this singer's 1963 hit heard here:,Marvin Gaye
"(Hi, I'm Kevin Garnett)  My high school was named after this man for whom the rank of full admiral was created in 1866",David Farragut
"The Little White Schoolhouse in this Wisconsin city claims to be the ""Birthplace of the Republican Party""",Ripon
"Wait a minute!  14 years after the Marvelettes, the Carpenters topped the charts with this song","""Please Mr. Postman"""
"Inspired by a conversation with a blacksmith, Nicholas Evans made himself heard with this 1995 bestseller",The Horse Whisperer
"These 2 Greek letters begin the name ""Christ"" in Greek & are used to represent him",chi and rho
"Late charismatic scholar seen on a PBS series in 1988 conversing with Bill Moyers on ""The Power Of Myth""",Joseph Campbell
Sebastian Melma was the name used by this Irish playwright while in exile,Oscar Wilde
This state's spaceport risks encroaching on the habitat of the Mojave Desert tortoise,California
President Martin Torrijos Espino,Panama
"There are 4 species of these dangerous African snakes: 1 black, 3 green",the mamba
"Dickens novel containing the line ""It is a far, far better thing that I do, that I have ever done""","""A Tale of Two Cities"""
Aaron's mongrel dogs,Burr's curs
"The Chinese government, which controls all of these in the U.S., won't let a new one be named until it's 100 days old",giant pandas
"John Adams said that a ""Useless man is called a disgrace, that 2 are called a law firm, & 3 or more become"" this body",Congress
Pea soup was a staple in the ships of this navy that beat the French & Spanish at Trafalgar,the British navy
The wheel lock mechanism later used in lighters was invented around 1500 to ignite the powder in these,guns
"This 20th century school of design & art movement comes from the German words for ""build"" & ""house""",Bauhaus
"4-word completion of the proverb ""Curses, like chickens...""",come home to roost
The main character of one his major works is Humphrey Chimpden Earwicker,James Joyce
"It follows ""A penny for a spool of thread, a penny for a needle, that's the way the money goes...""","""Pop Goes the Weasel"""
"In 1960 the FDA approved production of Enovid, the 1st of these",Birth Control Pills
"He was the first African American on a U.S. coin; the reverse of his half dollar read, ""from slave cabin to hall of fame""",Booker T. Washington
"President of North Vietnam for 24 years, his mausoleum in Hanoi is a national shrine",Ho Chi Minh
"""Did my father strike my gentleman for chiding of his fool?"" is one of Goneril's lines in this play",King Lear
"John Watson, a medical doctor",Sherlock Holmes
"This VCR brand's name came from the Latin for ""great voice""",Magnavox
"One on the run, ""F is for...""",Fugitive
"Known as ""The Hero of Two Worlds"", this revolutionary seen here led military campaigns in Brazil & Italy",Giuseppe Garibaldi
"In 1978 this South African shot a final-round 64 to win the green jacket, & the Masters, by one stroke",Gary Player
Mr. Vicious' children,Sid's kids
"This actor ""moonlighted"" in 1987: he won an Emmy for playing a P.I. & his ""The Return of Bruno"" yielded a top 5 hit",Bruce Willis
This big bouffant Broadway show became a 2007 film starring a big bouffant John Travolta,Hairspray
"This family ""Invents New Diet:  Only Eat Fat Or Lean""",Jack Sprat & his wife
On screen he's been hard-boiled cop Dirty Harry,Clint Eastwood
"In California, February 6, 2004 was proclaimed this president's ""Day"" in honor of his 93rd birthday",Ronald Reagan
A reprise is an attack done in fencing after a brief return to this position,en garde
This city some 30 miles west of Dallas began as an army post on the Trinity River,Fort Worth
"Mimic this gastropod's ""pace"" when walking to school & you may get there by sixth period",snail
Dendroid means shaped like a tree; dentiform means shaped like this,a tooth
In June 1989 this Missouri congressman succeeded Thomas Foley as Majority Leader in the House,(Richard) Gephardt
"This grain that was cheaper than wheat was used to feed cattle & in the loaves that fed 5,000",Barley
"This companion island to Trinidad has its own airport, Crown Point International",Tobago
"In 1909 Henry Ford produced over 10,000 of this car, saying customers could get it in ""any color...so long as it is black""",the Model T
"Robin leads Beast Boy, Cyborg & the rest of this superhero group on Cartoon Network",Teen Titans
It's the room between the ceiling joists & the roof rafters where you keep crazy Aunt Meredith,the attic
An M.S. in M.E. is a Master of Science in this kind of engineering,mechanical
"This controversial Bonbay-born Brit is the author of ""Midnight's Children"" & of the cake slogan ""Naughty but nice""",Salman Rushdie
"Fabric that does not ""bleed"" when washed or worn is said to be this",colorfast
Brenda & Dylan's spring dance rendezvous was a highlight of this series' first season,"Beverly Hills, 90210"
The life & career of this female senator from Maine is on display at a library in Skowhegan,Margaret Chase Smith
"Officially, it's a kingdom",Jordan
In 1971 the Lyndon Johnson Library at this school became the first presidential library on a college campus,University of Texas
"At Illinois senator Simon's funeral, former Senator Alan Dixon was listed in the program as one of these",a pallbearer
This daughter of Nixon married Edward Cox at the White House in 1971,Tricia
Some Moscow-set movie scenes have been filmed in this Finnish capital,Helsinki
"Forgotten for centuries, this royal retreat of Incan kings was rediscovered by Hiram Bingham in July",Machu Picchu
"""Tom Jones"" (1963)",Albert Finney
"Divided into 2 parts by the Rond-Point, it stretches 1.17 miles through Paris",the Champs-Élysées
"This wanderer in the West spread the word on Swedenborgism, as well as his famous fruit trees",Johnny Appleseed
In 1981 Budget Dir. Stockman's criticism of the Reagan administration was published in this monthly,The Atlantic Monthly
"Isaiah said that the Lord shall gather the dispersed ""from"" these ""of the Earth""",the four corners
"Novel that says, ""Eliza made her desperate retreat across the river just in the dusk of twilight""",Uncle Tom's Cabin
In June 2002 they became the first sisters to be ranked No. 1 & 2 in tennis at the same time,Venus & Serena Williams
19 letters: A book full of facts plus a doctor for kids,encyclopediatrician
His wife Florence consulted an astrologer who said that he'd win the presidency but die in office,Warren G. Harding
"In Act 1 of this play, Happy complains to Biff about their father's driving",Death Of A Salesman
Richard Bachman,Stephen King
"Fearing their vengeful wrath, the Greeks called them Eumenides, which means ""The Kindly Ones""",Furies
The USA's first domed sports stadium opened in this city in 1965,Houston
It's the animal that's most closely related to humans,chimpanzee
"Its ensemble cast included Kevin Kline, Glenn Close & William Hurt",The Big Chill
The Last Drop Tavern was named for its proximity to the spot where public hangings took place in this Scottish capital,Edinburgh
"Most of the Greek Isles are in this sea, an arm of the Mediterranean",the Aegean Sea
John Le Carre popularized the name of this burrowing mammal to mean a spy in enemy ranks,Mole
"In arresting members of the Mahdaviyat group, this country claimed it had thwarted a plot to kill Khatami",Iran
In 1964 this legendary couple of the stage became the first husband & wife awarded the Medal of Freedom,Alfred Lunt & Lynn Fontanne
"Chapter 1 of this book is called ""Lucy Looks into a Wardrobe""","""The Lion, the Witch & the Wardrobe"""
Traditionally you make a Caesar salad with this type of lettuce,Romaine
The city of Tuscaloosa in this state is named for a Choctaw leader who fought Hernando de Soto in 1540,Alabama
"JFK's 1962 State of the Union Address eulogized this Congressional legend known as ""Mr. Sam""",Rayburn
It's the proud banner seen here,Union Jack
"The arrangement of words in feet in each of a poem's lines; the ""Iliad""'s is dactylic",meter
Kyle Chandler is the coach of a small-town high school football team on this critically acclaimed TV show,Friday Night Lights
"In February the U.N. voted to send 7,000 peacekeepers to this southern African nation",Angola
"A high recognition factor prompted Lever Bros. to bring back the ""Ta-ta-ta-da"" ad for this",Imperial Margarine
A Yokozuna is an athlete who has reaced the highest rank in this sport,sumo wrestling
"Though much of Leviticus is ritual, chapter 19 has the sweeping ""Thou shalt love"" this person ""as thyself""",Thy neighbor
The California types of these are Mexican-Guatemalan hybrids & include the Hass,avocados
Classic Bette Davis movie chronicling the life of the TV star who played Jan Brady,All About Eve Plumb
"This Finn's only opera, ""The Maiden in the Tower"", had a libretto in Swedish",Sibelius
"It's the country where you'll find Cape Nordkyn, the northernmost point on the European mainland",Norway
"Natty Bumppo discovers there's ""The Penultimate Iroquois"" in this man's 1820s sequel",James Fenimore Cooper
"Aiding a felon before the crime or after it makes you one of these ""before"" or ""after the fact""",accessory
"On a hilarious sitcom on HBO, he played befuddled talk show host Larry Sanders",Garry Shandling
The Khyber Pass connects these 2 countries,Pakistan and Afghanistan
Gwyneth Paltrow portrayed her in the early days of her marriage to fellow poet Ted Hughes,Sylvia Plath
Types of these you'll find in the forest include the red-eyed vireo & the scarlet tanager,birds
Inflammation of this tendon that pulls up the heel is common; rupture is a lot more serious,Achilles tendon
In the 1890s he established steamer lines on the Great Lakes to control the transport of iron to Pittsburgh,Andrew Carnegie
"Grilled pizza is a favorite dish of this host of the Food Network's ""Hot Off The Grill""",Bobby Flay
"Formerly director of Arkansas' department of health, in 1993 Joycelyn Elders was appointed to this higher post",the Surgeon General
The company began in 1759 when Arthur Guinness established a brewery in this capital city,Dublin
The popular sport muay thai is a type of this martial art,kickboxing
"It's the ""Official Sports Beverage"" of the NFL, the NBA & the PGA",Gatorade
"In the 1821 Battle of Carabobo, Spanish general Miguel de la Torre was no match for this South American",Simon Bolivar
You're not ordering a prison weapon; it's this front leg of beef that requires braising,a shank
"This river is formed by the confluence of the Tallapoosa & Coosa Rivers, north of Montgomery",the Alabama River
"When he first saw Becky Thatcher, ""a certain Amy Lawrence vanished out of his heart and left not even a memory""",Tom Sawyer
In Indonesia nasi goreng is the fried type of this staple grain,Rice
"It's the numerical response that means ""Message confirmed"", good buddy",10-4
"Famous Terrence who wrote the Tony-winning plays ""Master Class"" & ""Love! Valour! Compassion!""",Terrence McNally
"In 1864 this motto first appeared on a U.S. coin, a 2-cent piece","""In God We Trust"""
"""The Angels of Buena Vista"" is Whittier's tribute to the women who cared for the wounded during this war",The Mexican War
"She fed us ""Dinner at the Homesick Restaurant"" in 1982 & gave us ""Breathing Lessons"" in 1988",Anne Tyler
The one Lincoln wore to Ford's Theatre is in the Smithsonian,a tophat
Litigation brought by multiple plaintiffs sharing the same legal problem,class action
This mask is good for stopping shots & generating movie sequels,Goalie/hockey mask
"Belgian city whose name has come to mean ""defeat"" because Napoleon was defeated there",Waterloo
(VIDEO DAILY DOUBLE): She's the woman in the Francois Gerard painting seen here,(Cupid And) Psyche
"This element, chemical symbol V, was named after the Scandinavian goddess of beauty",Vanadium
"The epilogue of this novel says, ""I have now told the singular, but veracious story of the opera ghost""",Phantom of the Opera
This saint of Avila founded her order of Barefoot Carmelites,Teresa
In 2001 an aircraft carrier named for this former president was christened by his wife Nancy,Reagan
"This Frenchman did not allow the publication of his ""Carnival of the Animals"" during his lifetime",Camille Saint-Saens
In January 1964 this Maine senator announced that she would seek the Republican nomination for president,Margaret Chase Smith
This D.C. paper led all others in pursuing the story of the Watergate break-in,The Washington Post
A leaner is worth 2 points in this pastime that dates back centuries,horseshoes
Until June 1997 this was the smallest fraction of a dollar used in NYSE trading,1/8
"A scholarly paper on punning restaurant names was titled ""Dew Drop Inn and"" this vegetable ""Entertain You""",Lettuce
"Appropriately, this singer of ""California Gurls"" was born in Santa Barbara",Katy Perry
These were first offered in 1939 to low-income families to help them buy groceries,food stamps
"A work from George Gershwin: ""___ In Blue""",Rhapsody
"After his 1616 death, his will stipulated that his ""second best bed"" go to his wife, Anne, which does beg a question...",Shakespeare
This Illinois man's 2 presidential runs in the 1950s garnered a total of 162 electoral votes,(Adlai) Stevenson
The Jacobins used the assassination of this editor of L'ami du Peuple as an excuse to begin the Reign of Terror,(Jean-Paul) Marat
"Russia shares its longest border with this large ""stan""",Kazakhstan
"Anne Edwards' biography of this former child star is called ""American Princess""",Shirley Temple
"He dedicated ""The Lion, the Witch and the Wardrobe"" to Lucy Barfield, his goddaughter for whom he wrote the story",C.S. Lewis
This tropical root is used to make tapioca,cassava
She won 3 golds in swimming at the '88 Olympics & was chosen homecoming queen of her school,Janet Evans
"""The Beautiful and Damned"", his second novel, takes place during the Jazz Age",F. Scott  Fitzgerald
"This herring-like pizza fish is attracted by light, so it's fished at night",anchovies
An annual publication chock full of facts & figures,an almanac
It's the roe of a sturgeon from the Black Sea,caviar
"A substance whose molecules contain more than one kind of atom, like water's hydrogen & oxygen atoms",compound
Until 1954 it was the tallest structure in the world,the Empire State Building
"Before it changed direction, this musical was called ""East Side Story""",West Side Story
"In Esperanto ""no man is an"" insulo, this",an island
One of the subdivisions of biology is this science dealing with the naming & classification of organisms,taxonomy
"As a noun, it's a reader used by students for a class; an adjective, it can mean typical or classic",textbook
He got the medal shortly before stepping down as Federal Reserve Chairman,(Alan) Greenspan
An early version of this water sport had players riding on barrels painted to look like horses,water polo
"Traditionally in Japan, these implements are used by suicidal samurai, but not at the table",Forks
"In antiquity this ""mother"" river of Russia was known as the Rha or Oaros",Volga
"He was on his way to compete in a car race when he crashed Sept. 30, 1955",James Dean
Yankton & Rosebud,South Dakota
"Having saved early Mormon settlers from an invasion of katydids, it's now the state bird",the seagull
"We're not faking--alphabetically, it's last among the elements on the Periodic Table",zirconium
"Marcel Duchamp's most famous painting is ""Nude Descending"" this",A Staircase
The U. of N. College of Agriculture helped develop the technology for this McDonald's McPork sandwich,McRib
"With thick clouds reflecting lots of light, this planet was once known as Lucifer & Phosphorus",Venus
The Georgian Military Highway is the only highway crossing this range that divides Asia from Europe,Caucuses
"In 1373 at Florence's Church of Santo Stefano, this ""Decameron"" author gave a reading of ""The Divine Comedy""",Giovanni Boccaccio
"When this schooner wrecked, cruel rocks ""gored her side like the horns of an angry bull""",the Hesperus
"The state university in Nacogdoches, Texas is named for him",Stephen (F.) Austin
